company,total_sites,inspected,inspector_problem,silt,inlet,gravel,veg,general,enforced,problem_no_enforcement
SHJ CONSTRUCTION GROUP,3,3,3,0,1,0,1,3,0,3
SUMMERDALE TOWN OF,3,2,2,0,0,0,0,2,0,2
TD DEVELOPMENT LLC,3,3,0,0,0,0,0,0,0,0
TONY PORCO CONSTRUCTION INC,3,0,0,0,0,0,0,0,0,0
TORTORIGI CONSTRUCTION INC,3,3,3,2,2,1,3,3,3,0
TRI STAR ENERGY LLC,3,2,2,0,0,0,0,2,0,2
U S ARMY CORPS OF ENGINEERS,3,0,0,0,0,0,0,0,0,0
UNIVERSITY OF SOUTH ALABAMA HEALTHCARE AUTHORITY,3,3,0,0,0,0,0,0,1,0
WEST MORGAN EAST LAWRENCE WATER AND SEWER AUTHORITY,3,1,1,0,0,0,0,1,0,1
WILLIAMSON LAND DEVELOPMENT INC,3,0,0,0,0,0,0,0,0,0
WIREGRASS HOMES LLC,3,1,0,0,0,0,0,0,1,0
3M COMPANY,3,3,3,0,0,0,0,3,0,3
AINSWORTH HOMES LLC,3,1,0,0,0,0,0,0,0,0
BEAUREGARD WATER AUTHORITY,3,2,0,0,0,0,0,0,0,0
BUILDERS GROUP OF WEST ALABAMA LLC THE,3,1,1,1,1,0,0,1,1,0
CALIBER 1 CONSTRUCTION INC,3,0,0,0,0,0,0,0,0,0
CARLISLE DEVELOPMENT COMPANY LLC,3,2,1,0,0,0,0,1,0,1
DENDY INVESTMENT GROUP LLC,3,1,0,0,0,0,0,0,2,0
GARDEN STREET COMMUNITIES SOUTHEAST LLC,3,2,2,1,0,1,1,2,1,1
JERRY KYSER BUILDER INC,3,2,0,0,0,0,0,0,0,0
KLEBAN PROPERTIES LLC,3,3,3,1,0,0,0,2,0,3
KOHLER COMPANY,3,1,0,0,0,0,0,0,0,0
MARK SCHROETER,3,1,0,0,0,0,0,0,0,0
MARSHALL DESIGN BUILD,3,3,3,2,0,0,2,2,1,2
MHH INC,3,1,1,0,0,0,0,1,1,0
NEW SIGHT CONSTRUCTION LLC,3,1,0,0,0,0,0,0,0,0
ROLIN CONSTRUCTION INC,3,2,2,0,0,0,1,2,1,1
SWEETWATER INVESTMENTS LLC,3,2,2,1,0,0,0,2,0,2
TRIPTEK CONSTRUCTION LLC,3,2,1,0,0,0,0,1,0,1
U S SPACE AND ROCKET CENTER FOUNDATION,3,1,1,0,0,0,0,1,0,1
WELLINGTON DEVELOPMENT COMPANY LLC,3,1,1,0,0,0,1,0,1,0
WINTER HOMES INVESTMENT PROPERTIES LLC,3,3,1,0,0,0,0,1,1,1
AVERITT EXPRESS INC,3,1,1,0,0,0,0,1,0,1
BIG M EXCAVATING,3,0,0,0,0,0,0,0,0,0
BRANTLEY TOWN OF,3,0,0,0,0,0,0,0,0,0
C ROBERDS GENERAL CONTRACTORS LLC,3,3,2,0,0,0,0,2,0,2
DSLD GULF COAST LLC,3,2,2,0,0,0,1,2,2,0
DUFFEY SOUTHEAST INC,3,3,2,0,0,0,0,2,0,2
GREENWOOD MOTOR LINES INC,3,1,1,0,0,0,0,1,0,1
HOLLEY HENLEY BUILDERS INC,3,1,0,0,0,0,0,0,0,0
HUNTSVILLE UTILITIES WATER DEPARTMENT,3,0,0,0,0,0,0,0,0,0
JB AND L LLC,3,3,3,0,0,0,0,3,1,2
JIM CHAPMAN COMMUNITIES INC,3,2,2,0,0,0,0,2,0,2
KINETIC CAPITAL IV LLC,3,2,1,0,0,0,0,1,0,1
LIMITLESS HOMES LLC,3,3,3,2,0,0,0,3,0,3
MCINTYRE HOME BUILDERS LLC,3,0,0,0,0,0,0,0,0,0
MORRISON LAND CONTRACTING LLC,3,2,2,1,0,1,1,2,1,1
MWB RESTAURANTS LLC,3,3,3,0,0,0,0,3,0,3
OLYMPIA CONSTRUCTION INC,3,1,1,1,1,1,1,1,1,0
POIEMA DEVELOPING LLC,3,1,0,0,0,0,0,0,0,0
ROSEHILL CONSTRUCTION LLC,3,2,0,0,0,0,0,0,1,0
ROY LEWIS CONSTRUCTION CORPORATION,3,3,1,0,0,0,0,1,0,1
ROYAL INVESTMENTS GROUP LLC,3,2,2,1,2,0,1,2,0,2
ST CLAIR COUNTY SCHOOLS,3,2,2,0,0,0,0,2,0,2
T E STEVENS CONSTRUCTION INC,3,2,2,2,2,0,2,2,2,0
THRASH COMMERCIAL CONTRACTORS INC,3,1,0,0,0,0,0,0,1,0
TOWER COASTAL LLC,3,3,3,2,0,0,0,3,1,2
WJHAL LLC,3,2,2,0,0,0,1,2,1,1
A AND C BUILDERS LLC,3,1,0,0,0,0,0,0,1,0
AL SOLAR G LLC,3,1,0,0,0,0,0,0,0,0
CALIBER COLLISION CENTERS,3,2,1,0,0,0,0,1,0,1
COCHRAN BUILDERS INC,3,1,0,0,0,0,0,0,1,0
CULBERTSON CONTRACTORS,3,1,1,0,0,0,0,1,0,1
EQUAL JUSTICE INITIATIVE,3,1,0,0,0,0,0,0,1,0
GFC CONSTRUCTION INC AND DOMINION CONSTRUCTION INC JV LLC,3,0,0,0,0,0,0,0,0,0
HARTBROOK DEVELOPMENT LLC,3,2,0,0,0,0,0,0,0,0
HUNTSVILLE UTILITIES NATURAL GAS DEPARTM,3,0,0,0,0,0,0,0,0,0
JAM CONTRACTING LLC,3,3,2,0,0,0,0,2,1,1
LAND VENUES INC,3,2,1,0,0,0,0,1,0,1
LIMESTONE CO BOARD OF EDUCATION,3,0,0,0,0,0,0,0,0,0
NEW PLAN PROPERTIES LLC,3,2,2,0,0,0,0,2,2,0
S AND L PROPERTIES HUNTSVILLE LLC,3,2,2,0,0,0,0,2,0,2
STAR SIGNATURE HOMES LLC,3,2,1,0,1,0,0,1,1,1
TERRY EQUIPMENT COMPANY LLC,3,2,1,0,0,0,0,1,1,1
WSW LAND DEVELOPMENT LLC,3,1,0,0,0,0,0,0,1,0
CHILTON COUNTY BOARD OF EDUCATION,3,2,2,1,1,1,1,1,1,1
ELMORE COUNTY BOARD OF EDUCATION,3,0,0,0,0,0,0,0,0,0
HUDSON COMPANY OF TENNESSEE,3,2,1,0,0,0,0,1,1,1
LURLEEN B WALLACE COMMUNITY COLLEGE,3,1,0,0,0,0,0,0,0,0
MURPHY HOMES,3,1,0,0,0,0,0,0,0,0
NORTH ALABAMA CONSTRUCTION SPECIALISTS LLC,3,2,1,0,0,0,1,1,2,0
PRYOR FIELD AIRPORT AUTHORITY,3,1,1,0,0,0,0,1,0,1
RABREN EXCAVATION LLC,3,3,0,0,0,0,0,0,2,0
RADER MCCARY INC,3,1,0,0,0,0,0,0,0,0
REEVES AND SHAW CONSTRUCTION LLC,3,2,1,0,0,0,0,1,2,0
THREET BUILDERS EXCAVATING AND CONSTRUCTION LLC,3,1,1,0,0,0,0,1,0,1
TLS CONSTRUCTION LLC,3,1,1,1,0,0,0,0,1,0
WITHERINGTON CONSTRUCTION CORPORATION,3,2,1,1,0,0,0,1,0,1
BULLEY AND ANDREWS ROCK CITY LLC,3,0,0,0,0,0,0,0,0,0
CONTE CONSTRUCTION LLC,3,1,1,1,0,1,0,1,1,0
HYDRO GREEN EROSION CONTROL LLC,3,0,0,0,0,0,0,0,0,0
SUPERIOR WALL AND PAVER LLC,3,1,0,0,0,0,0,0,0,0
TIM THOMASON CONSTRUCTION AND LANDSCAPING INC,3,0,0,0,0,0,0,0,0,0
TRENCHLINE CIVIL LLC,3,0,0,0,0,0,0,0,0,0
WR COVE LLC,3,2,1,1,0,0,0,1,0,1
165 PARTNERS LLC,2,2,2,2,1,2,2,1,1,1
A AND B 10 LLC,2,2,2,1,1,1,2,2,2,0
ABBEVILLE CITY OF,2,2,0,0,0,0,0,0,1,0
ADAMS ROBINSON CONSTRUCTION,2,2,2,2,1,0,1,1,0,2
ANDY SHANKLES,2,2,2,0,0,0,0,2,2,0
ATHENS CITY BOARD OF EDUCATION,2,2,1,0,0,0,0,1,1,1
AUBURN UNIVERSITY OF MONTGOMERY,2,1,0,0,0,0,0,0,1,0
B AND W LAND CO LLC,2,2,1,0,0,0,0,1,1,1
BAKER DEVELOPMENT LLC,2,2,2,0,0,0,0,2,1,1
BAMA BUDWEISER OF SYLACAUGA,2,1,1,1,1,1,1,1,1,0
BAPTIST HEALTH SYSTEMS,2,1,1,0,0,0,0,1,1,0
BAY GAS STORAGE COMPANY LTD,2,1,0,0,0,0,0,0,0,0
BRADLEY PLUMBING AND HEATING INC,2,0,0,0,0,0,0,0,0,0
BUILDERS MARTIN BUILDERS LLC,2,2,2,0,2,0,2,2,2,0
CARDINAL CONTRACTING INC,2,1,0,0,0,0,0,0,1,0
CARROLLS CREEK WATER AUTHORITY INC,2,0,0,0,0,0,0,0,0,0
CHANDLER JONES LLC,2,2,2,1,1,0,1,2,1,1
CHARLES K BRELAND JR,2,1,1,0,0,0,0,1,0,1
CHELSEA PARK DEVELOPMENT INC,2,1,1,1,1,0,1,1,1,0
CLARKE MOBILE COUNTIES GAS DISTRICT,2,0,0,0,0,0,0,0,0,0
CLAY CITY OF,2,1,1,1,1,0,1,1,1,0
COASTAL ALABAMA COMMUNITY COLLEGE,2,1,1,0,0,0,1,0,0,1
COTTER ENTERPRISES INC,2,2,1,1,1,0,1,0,1,0
CP 4 AL INC,2,2,0,0,0,0,0,0,0,0
DAPHNE CITY OF UTILITIES BOARD,2,2,2,0,1,0,1,2,1,1
DELANEY EXCHANGE LLC,2,1,0,0,0,0,0,0,0,0
DEMOPOLIS CITY OF,2,2,0,0,0,0,0,0,2,0
DEXTER DYKES,2,2,1,1,0,0,1,0,1,0
DOOLEYMACK CONSTRUCTORS OF GEORGIA INC,2,1,1,0,0,0,0,1,0,1
DR HORTON BIRMINGHAM,2,1,0,0,0,0,0,0,1,0
DRM UTILITIES LLC,2,1,0,0,0,0,0,0,1,0
ELITE DEVELOPERS LLC,2,2,2,0,0,0,0,2,1,1
EMJ CONSTRUCTION,2,1,1,0,1,1,1,1,0,1
ESCAMBIA COUNTY COMMISSION,2,2,2,0,0,0,1,1,0,2
GARY C WYATT INC,2,2,2,2,1,0,1,2,0,2
GLORY LLC,2,2,2,0,1,0,2,2,0,2
GROSS BUILDERS,2,2,2,0,1,0,1,2,1,1
GUNTERS LANDING HOLDINGS LLC,2,2,1,0,0,0,0,1,1,1
HOMECORPS DEVELOPERS LLC,2,2,0,0,0,0,0,0,1,0
HUGHES CAPITAL PARTNERS,2,2,2,1,0,0,0,2,1,1
JACKS FAMILY RESTAURANTS INC,2,2,1,1,0,0,1,0,1,1
JDM INVESTMENTS LLC,2,2,1,0,0,0,0,1,0,1
JEFF BENTON DEVELOPMENT INC,2,2,2,0,0,0,0,2,1,1
JOHN CANNON,2,1,1,0,0,0,0,1,1,1
JOON LLC DBA AJIN USA,2,1,0,0,0,0,0,0,0,0
K W PLASTICS,2,2,2,1,0,0,1,1,0,2
KRJ DEVELOPMENT INC,2,2,0,0,0,0,0,0,2,0
LLEDO DEVELOPERS LLC,2,2,1,0,0,0,0,1,2,0
LUKE 4 18 FELLOWSHIP CHURCH,2,2,1,1,1,1,0,0,0,1
M AND M HOMEBUILDERS LLC,2,1,1,0,0,0,1,0,1,0
M AND M HOMESBUILDERS LLC,2,1,1,0,1,0,1,0,1,0
MARAND BUILDERS,2,1,1,0,0,0,0,1,0,1
MCMICHAELS CONSTRUCTION CO INC,2,2,2,1,0,0,0,2,0,2
MGC ROOFING AND CONSTRUCTION INC,2,1,0,0,0,0,0,0,1,0
MIDSOUTH BANK,2,2,0,0,0,0,0,0,1,0
MOBLEY DEVELOPMENT INC,2,1,1,1,1,0,1,1,1,0
NORDAN CONTRACTING CO INC,2,1,0,0,0,0,0,0,0,0
NSH CORPORATION SIGNATURE HOMES,2,2,2,2,1,0,2,2,2,0
P F MOON AND COMPANY INC,2,1,1,0,0,0,0,1,0,1
PCI SUPPORT SERVICES LLC,2,1,0,0,0,0,0,0,0,0
PEAK NA USA INC,2,2,0,0,0,0,0,0,0,0
PRO BUILT CONSTRUCTION LLC,2,1,1,1,1,0,1,1,1,0
RBI BUILDERS LLC,2,2,0,0,0,0,0,0,2,0
READY MIX USA LLC,2,0,0,0,0,0,0,0,0,0
REX BARNES,2,1,1,0,0,0,0,1,0,1
RGM PROPERTIES LLC,2,2,1,0,0,0,0,1,0,1
RIDGEFIELD DEVELOPMENT INC,2,0,0,0,0,0,0,0,0,0
ROBERT W BISHOP,2,1,1,0,1,0,1,0,0,1
ROBINSON PAVING COMPANY,2,1,1,0,0,0,0,1,0,1
SELLERS STATION WATER SYSTEM INC,2,1,0,0,0,0,0,0,1,0
SJ AND L GENERAL CONTRACTORS LLC,2,1,0,0,0,0,0,0,1,0
SOUTH ALABAMA UTILITIES,2,1,0,0,0,0,0,0,1,0
SOUTHEAST CONSTRUCTION LLC,2,2,0,0,0,0,0,0,0,0
SOUTHPOINT BANK,2,2,1,0,0,0,0,1,0,1
SPRIGGS ENTERPRISES INC,2,2,2,1,1,2,1,2,1,1
ST CLAIR DEVELOPMENT LLC,2,2,1,0,0,0,0,1,0,1
ST IGNATIUS PARISH MOBILE,2,1,0,0,0,0,0,0,0,0
STALLINGS AND SONS INC,2,1,1,0,0,0,1,0,1,0
STONE BUILDING COMPANY INC,2,1,1,0,0,0,0,1,0,1
STRAIN CONSTRUCTION CO,2,1,1,0,0,0,0,1,0,1
T AND K CONSTRUCTION LLC,2,1,1,1,0,0,1,1,1,0
TALLAPOOSA COUNTY BOARD OF EDUCATION,2,1,0,0,0,0,0,0,1,0
TRILLIUM DEVELOPMENT PARTNERS LLC,2,0,0,0,0,0,0,0,0,0
TUSCUMBIA CITY OF,2,2,1,0,0,0,0,1,0,1
TUSKEGEE CITY OF,2,2,1,0,0,0,0,1,1,1
VILLAGE AT HIGHLAND LAKES INC THE,2,2,2,2,1,1,2,2,2,0
W G YATES AND SONS CONSTRUCTION,2,1,1,0,1,1,1,0,1,0
WAITES CONSTRUCTION CO INC,2,1,1,0,0,0,0,1,0,1
WATERS BROTHERS CONTRACTORS INC,2,2,1,0,0,0,0,1,1,1
WESTROCK MILL COMPANY LLC,2,2,0,0,0,0,0,0,0,0
YOUNG VILLAGE LLC,2,1,0,0,0,0,0,0,1,0
06185,2,2,1,0,0,0,0,1,1,1
ACE ENGINEERIING INC,2,1,0,0,0,0,0,0,0,0
ALABAMA AND GULF COAST RAILWAY LLC,2,1,0,0,0,0,0,0,0,0
ALABAMA GRAPHITE COMPANY INC,2,0,0,0,0,0,0,0,0,0
ALABAMA PELLETS LLC,2,2,1,1,0,1,1,1,1,1
ALABAMA STATE MILITARY DEPARTMENT,2,2,1,0,0,0,0,1,0,1
ALAN BREWER,2,2,1,0,0,0,0,1,0,1
ALBERTVILLE MUNICIPAL UTILITIES BOARD,2,2,2,0,0,0,0,2,0,2
ALICEVILLE WATER AND SEWER BOARD,2,0,0,0,0,0,0,0,0,0
AMITY CONSTRUCTION COMPANY INC,2,2,1,1,0,0,0,1,1,1
ANNISTON PUBLIC BUILDING AUTHORITY,2,0,0,0,0,0,0,0,0,0
ARGO BUILDING CO INC,2,1,1,0,0,0,0,1,1,0
ARLINGTON PROPERTIES INC,2,1,1,1,1,0,1,1,1,0
ARMY AVIATION CENTER FEDERAL CREDIT UNIO,2,2,2,1,0,1,1,1,1,1
ASHLAND CITY OF,2,0,0,0,0,0,0,0,0,0
AT AND T CORP,2,0,0,0,0,0,0,0,0,0
ATNIP DESIGN AND SUPPLY CENTER INC,2,1,1,1,0,1,0,1,1,0
AUBURDAN INC,2,1,1,0,1,1,1,0,1,0
B H CRAIG CONSTRUCTION INC,2,1,1,1,0,0,0,1,1,0
BALDWIN COUNTY CONSTRUCTION INC,2,2,1,0,0,1,1,1,0,1
BAMA CONCRETE PRODUCTS CO INC,2,1,1,0,0,0,0,1,0,1
BARRETT HOOD AND SATTERWHITE LLC,2,1,1,0,0,0,0,1,0,1
BETHEL BAPTIST CHURCH,2,1,1,0,0,0,0,1,0,1
BIGHAM CONSTRUCTION,2,1,0,0,0,0,0,0,0,0
BILLY COTTER CONSTRUCTION INC,2,2,1,0,0,1,1,0,2,0
BROOKS PEANUT COMPANY INC,2,2,2,0,1,1,1,1,1,1
BROOKWOOD TOWN OF,2,0,0,0,0,0,0,0,0,0
BULLARD EXCAVATING INC,2,2,1,0,0,0,1,1,1,1
BWC ALABAMA LLC,2,2,2,0,0,0,0,2,0,2
C AND J CONTRACTING AND PLUMBING INC,2,2,1,0,0,0,0,1,1,1
CADDELL CONSTRUCTION CO INC,2,2,1,1,1,0,1,1,1,0
CCI,2,0,0,0,0,0,0,0,0,0
COMPENDIUM INTERNATIONAL INC,2,1,0,0,0,0,0,0,0,0
CONCORD LAND DEVELOPMENT COMPANY INC,2,2,2,0,0,1,1,2,1,1
CONECUH SAUSAGE COMPANY INC,2,1,1,1,0,0,1,1,0,1
CONSULTANTS AND BUILDERS INC,2,2,2,2,1,2,2,2,0,2
COOPER MARINE AND TIMBERLANDS,2,0,0,0,0,0,0,0,0,0
COTTAGES AT ROMAR LLP,2,2,2,0,0,1,1,2,1,1
DAA ACQUISITION OF ALABAMA LLC,2,2,2,0,0,0,0,2,0,2
DALEVILLE CITY OF WATER AND SEWER BOARD,2,1,0,0,0,0,0,0,1,0
DAVID STAPLETON BUILDERS,2,2,2,1,0,1,0,2,0,2
DOMINION CONSTRUCTION COMPANY,2,1,1,1,1,0,1,1,1,0
DOUBLE DIAMOND CONSTRUCTION CO INC,2,1,1,1,0,0,0,1,0,1
DUNN CONSTRUCTION COMPANY INC,2,1,0,0,0,0,0,0,0,0
EUGENE TURNER GENERAL CONTRACTORS,2,1,1,0,0,0,0,1,0,1
EUTAW CITY OF,2,1,1,0,0,0,1,1,0,1
EVANS GENERAL CONTRACTORS LLC,2,2,2,1,0,0,1,2,0,2
FAMILY DOLLAR STORES OF ALABAMA INC,2,2,2,0,0,0,0,2,0,2
FAULKNER UNIVERSITY,2,1,0,0,0,0,0,0,1,0
FIRST CHOICE PROPERTY AND DEVELOPMENT LL,2,1,1,1,1,0,1,1,0,1
FIRST METRO BANK,2,2,1,0,0,0,0,1,0,1
FORT MITCHELL WATER SYSTEM INC,2,1,1,0,0,0,0,1,0,1
GBT REALTY CORPORATION,2,2,1,0,0,0,0,1,1,1
GEORGE S HOUSTON LIBRARY ASSOCIATION INC,2,2,2,2,0,0,1,0,2,0
GLEN GARCIA,2,2,2,0,0,0,0,2,0,2
GOLF COURSE REALTY LLC,2,2,2,2,2,1,2,2,2,0
GRAHAM COUNTY LAND COMPANY,2,2,1,0,0,0,0,1,0,1
GRAYS TIRE AND SERVICE CENTER INC,2,2,2,0,0,0,0,2,0,2
GREENLAKE INC,2,2,1,0,0,0,0,1,1,1
GULF SERVICES CONTRACTING INC,2,2,0,0,0,0,0,0,1,0
GULF STATE ENTERPRISES INC,2,2,2,0,0,1,0,2,2,0
HALSTEAD CONTRACTORS LLC,2,1,1,0,0,0,0,1,0,1
HEAD INC,2,2,2,1,1,0,2,2,1,1
HOLMES II EXCAVATING INC,2,1,1,0,0,0,1,1,0,1
HOME DEPOT USA,2,2,2,0,0,1,2,2,0,2
HOMEWOOD CITY OF,2,1,1,0,0,0,0,1,0,1
HOUSING AUTHORITY BIRMINGHAM DISTRICT,2,0,0,0,0,0,0,0,0,0
HUNT PROPERTIES LLC,2,2,1,0,0,0,0,1,0,1
INDORAMA VENTURES XYLENES AND PTA LLC,2,0,0,0,0,0,0,0,0,0
IRA LEWIS,2,2,1,1,0,0,1,1,0,1
JAMES GRAHAM BROWN FOUNDATION INC,2,1,1,0,0,0,1,1,0,1
JOE VINSON BUILDERS INC,2,2,2,1,1,0,1,2,2,0
JONES DESIGN AND CONSTRUCTION,2,2,2,2,2,1,0,1,1,1
KASAI NORTH AMERICA INC,2,1,0,0,0,0,0,0,0,0
KESSTEAM LLC,2,2,2,2,2,0,2,1,1,1
KLOECKNER METALS CORPORATION,2,1,0,0,0,0,0,0,0,0
LAMAR COUNTY COMMISSION,2,1,1,0,0,0,0,1,0,1
LIFECYCLE CONSTRUCTION SERVICES INC,2,2,0,0,0,0,0,0,0,0
LINDSEY DEVELOPMENT COMPANY INC,2,2,2,0,0,0,0,2,1,1
LINEAGE LOGISTICS LLC,2,2,1,1,0,0,1,0,1,1
LOWNDES COUNTY COMMISSION,2,2,2,0,0,0,0,2,1,1
LOWNDESBORO TOWN OF,2,0,0,0,0,0,0,0,0,0
MACLEAN POWER LLC,2,2,1,1,1,0,1,1,1,0
MADDEN ENTERPRISES INC,2,2,0,0,0,0,0,0,0,0
MARK DAVIS CONSTRUCTION CO INC,2,2,2,0,1,1,1,2,1,1
MARSHALL HEALTH SYSTEMS,2,2,0,0,0,0,0,0,0,0
MAX FOOTE CONSTRUCTION CO INC,2,1,0,0,0,0,0,0,0,0
MCDOWELL AND ASSOCIATES,2,2,1,1,1,1,1,0,1,0
MERCEDES BENZ OF MOBILE,2,2,0,0,0,0,0,0,0,0
MILAM AND COMPANY,2,1,1,0,0,0,0,1,0,1
MING ENTERPRISES,2,2,1,1,0,0,0,1,0,1
MITCHELL ELLIS PRODUCTS INC,2,2,0,0,0,0,0,0,0,0
MONTGOMERY HOUSING AUTHORITY,2,2,2,1,0,0,1,1,1,1
MORROW GREYSTONE LLC,2,1,1,0,0,0,0,1,1,0
NADM LLC,2,2,1,1,0,0,1,0,1,0
NEAREN CONSTRUCTION INC,2,2,0,0,0,0,0,0,1,0
NEWELL AND BUSH INC,2,0,0,0,0,0,0,0,0,0
OAKLEY EXCAVATING INC,2,2,1,0,0,0,0,1,1,1
ODENVILLE I 59 LLC,2,2,2,0,0,0,2,2,2,0
OVERTON INVESTMENTS LLC,2,2,1,0,1,0,1,1,0,1
PRICHARD CITY OF HOUSING AUTHORITY,2,2,0,0,0,0,0,0,2,0
R T MILORD COMPANY,2,1,0,0,0,0,0,0,0,0
RAY MONT LOGISTICS MOBILE INC,2,1,0,0,0,0,0,0,0,0
RAY WEAVER BUILDERS,2,0,0,0,0,0,0,0,0,0
S AND W LAND DEVELOPMENT LLC,2,2,2,0,0,0,1,2,1,1
S T BUNN CONSTRUCTION CO INC,2,1,1,0,0,0,0,1,0,1
SCOTT BRIDGE COMPANY INC,2,2,2,1,0,0,0,2,0,2
SEQUOIA LAND DEVELOPMENT,2,1,1,1,1,1,1,1,1,0
SERVISFIRST BANK,2,1,1,0,0,0,0,1,0,1
SONIC DEVELOPMENT LLC,2,1,0,0,0,0,0,0,1,0
SOUTHEASTERN CHEROKEE CONSTRUCTION INC,2,0,0,0,0,0,0,0,0,0
SOUTHERN SCAPES HOMES DESIGN LLC,2,0,0,0,0,0,0,0,0,0
SPRINGVILLE CITY OF,2,2,2,0,0,0,0,2,1,1
ST VINCENTS HOSPITAL,2,1,1,1,0,0,1,0,0,1
STANLEY CONSTRUCTION CO INC,2,2,0,0,0,0,0,0,0,0
STANLEY CONSTRUCTION COMPANY,2,0,0,0,0,0,0,0,0,0
STEVENSON TOWN OF UTILITIES BOARD,2,1,1,0,0,0,0,1,0,1
SULLIVAN AND ASSOCIATES HOME BUILDERS,2,2,2,1,2,0,0,2,0,2
SUMMERVILLE HOMES INC,2,2,1,1,1,0,1,1,2,0
SWR HOLDINGS LLC,2,2,1,0,0,0,0,1,0,1
TANNER HEALTH SYSTEM INC,2,1,1,1,1,0,1,1,1,0
THYSSEN KRUPP MATERIALS NA INC,2,2,2,1,1,0,1,1,2,0
TIGER CROSSING LLC,2,2,1,0,1,0,0,1,1,1
TRIMBACK CONSTRUCTION LLC,2,2,2,0,1,1,2,0,2,0
TURNER UNIVERSAL CONSTRUCTION CO INC,2,0,0,0,0,0,0,0,0,0
TUSKEGEE UNIVERSITY,2,1,0,0,0,0,0,0,0,0
UNIVERSITY OF ALABAMA IN HUNTSVILLE,2,1,1,0,0,0,0,1,0,1
VIKING DEVELOPMENT,2,2,1,1,1,0,1,1,1,0
WATERSTONE DEVELOPMENT LLC,2,2,2,2,1,0,1,0,1,1
WAYNE GENTRY BUILDER INC,2,2,2,1,1,2,2,0,1,1
WEAVER ENVIRONMENTAL,2,1,1,0,0,0,0,1,0,1
WIELAND DAVCO CORPORATION THE,2,0,0,0,0,0,0,0,0,0
WILLIAMSBURG PLAZA,2,1,0,0,0,0,0,0,0,0
YOUR EXTENDED ATTIC HG LLC,2,2,2,0,0,0,0,2,0,2
ALABAMA INDUSTRIAL DEVELOPMENT TRAINING,2,2,2,0,1,0,0,2,1,1
AMERICAN CAST IRON PIPE COMPANY,2,1,0,0,0,0,0,0,0,0
AVANTI POLAR LIPIDS LLC,2,2,2,0,0,0,0,2,0,2
B L HARBERT INTERNATIONAL INC,2,1,0,0,0,0,0,0,0,0
BAG SUPPLY COMPANY INC,2,1,1,0,0,0,0,1,0,1
BAYSHORE CONSTRUCTION COMPANY INC,2,2,2,1,0,0,1,1,0,2
BEELMAN TRUCK COMPANY,2,2,2,2,0,1,2,1,1,1
BIRMINGHAM SERVICE PUMP,2,2,2,1,0,0,1,2,1,1
BLACK CREEK STATION LLC,2,0,0,0,0,0,0,0,0,0
BRENT HOLDINGS LLC,2,1,0,0,0,0,0,0,1,0
C AND C MARINE LLC,2,1,0,0,0,0,0,0,0,0
CARBINE CONSTRUCTION CO INC,2,2,1,0,0,0,0,1,1,1
CHARLES B ARCHER,2,2,2,0,0,0,0,2,0,2
CMT TERMINALS INC,2,0,0,0,0,0,0,0,0,0
COMPASS CONSTRUCTION,2,0,0,0,0,0,0,0,0,0
CONSOLIDATED CONSTRUCTION CO OF ALABAMA,2,1,1,0,0,0,0,1,0,1
CORDOVA CITY OF,2,2,2,0,0,0,0,2,0,2
COTTINGHAM CONTRACTING CO INC,2,2,2,0,0,1,1,1,0,2
CROSSPOINTE CHURCH,2,0,0,0,0,0,0,0,0,0
DAEDONG HI LEX OF AMERICA INC,2,2,0,0,0,0,0,0,0,0
DAIKIN AMERICA INC,2,0,0,0,0,0,0,0,0,0
DAS NORTH AMERICA INC,2,1,1,0,0,0,0,1,0,1
DYMAC CONTRACTING,2,2,1,1,0,0,0,0,0,1
EAST ALABAMA RAILWAY INC,2,0,0,0,0,0,0,0,0,0
ECOSOUTH SERVICES OF MOBILE LLC,2,1,0,0,0,0,0,0,0,0
ELBA CITY OF,2,1,1,0,0,0,0,1,1,0
ESCAMBIA PEANUT COMPANY LLC,2,1,1,1,0,0,1,1,0,1
FARLEY FARM DEVELOPMENT INC,2,1,1,1,0,0,0,1,0,1
FELICITER INVESTMENT GROUP LLC,2,2,1,0,1,0,1,1,0,1
FORESTRY ENVIORNMENTAL SERVICES INC,2,0,0,0,0,0,0,0,0,0
FREEMAN AND ASSOCIATES,2,2,1,0,1,1,1,0,0,1
G AND T DEVELOPMENT LLC,2,1,1,1,1,0,1,1,1,0
HARDCASTLE CONSTRUCTION CO INC,2,2,2,0,0,0,0,2,0,2
HARRIS DOYLE HOMES INC,2,1,1,1,0,0,1,0,1,0
HSC SARALAND LLC,2,2,2,0,0,0,0,2,1,1
HUDSON CONSTRUCTION COMPANY,2,2,2,0,0,0,0,2,0,2
INLAND PROPERTY MANAGEMENT INC,2,2,2,0,0,0,0,2,0,2
J AND P CONSTRUCTION CO INC,2,2,1,0,1,0,0,1,1,1
JOE STILL BUILDING COMPANY,2,1,0,0,0,0,0,0,0,0
JOHNSON CONTRACTORS INC,2,2,2,0,0,0,0,2,0,2
LEGENDARY COMMUNITIES ALABAMA LLC,2,1,1,0,1,1,1,1,1,0
LEWIS HOMES LLC,2,2,1,0,0,0,0,1,0,1
MARATHON LAND COMPANY LLC,2,1,0,0,0,0,0,0,0,0
MCINTOSH LLC,2,1,1,0,1,0,1,0,0,1
MCKENZIE TOWN OF WATER BOARD,2,1,0,0,0,0,0,0,0,0
