company,total_sites,inspected,inspector_problem,silt,inlet,gravel,veg,general,enforced,problem_no_enforcement
GRANTS MILL LLC,20,12,12,3,4,1,5,8,5,7
CUNNINGHAM DELANEY CONSTRUCTION LLC,20,15,13,5,2,2,7,10,7,6
PRICE CIVIL SERVICES INC,20,1,1,0,0,0,1,1,1,0
DG HOLDINGS LLC,20,10,8,2,0,0,2,6,0,8
ALABAMA DEPARTMENT OF CONSERVATION,19,11,9,1,0,0,2,8,3,6
ETOWAH COUNTY COMMISSION,19,8,8,1,1,0,0,8,1,7
LAMBERT INC,19,12,9,0,0,0,0,9,2,8
RACETRAC PETROLEUM INC,19,16,13,0,0,0,2,12,2,12
BEASLEY CONSTRUCTION SERVICES INC,19,8,3,1,1,1,1,1,3,1
LEE BUILDERS INC,19,13,10,1,0,1,0,10,0,10
TACALA LLC,19,11,7,0,1,0,1,6,2,7
FAIRHOPE CITY OF,18,16,16,4,4,1,6,14,1,15
GOODWYN BUILDING CO INC,18,8,5,2,2,2,3,3,6,1
TROY CITY OF,18,10,6,3,2,3,4,4,7,1
WOODWARD CONSTRUCTION AND DESIGN INC,18,9,5,1,0,0,0,5,2,3
FIRST TEAM CONSTRUCTION INC,18,10,7,1,1,0,1,7,2,6
MOBILE AIRPORT AUTHORITY,18,6,4,0,1,1,1,4,4,0
PRATTVILLE CITY OF,18,9,4,0,1,2,2,3,3,2
BROADWAY GROUP LLC,18,15,14,0,0,3,3,13,3,12
AMMONS AND BLACKMON CONSTRUCTION LLC,18,15,14,4,1,3,3,14,8,6
DECATUR CITY OF UTILITIES BOARD,17,14,14,0,0,0,0,14,0,14
PINE BELT TELEPHONE COMPANY INC,17,1,1,0,0,0,0,1,0,1
TUSCALOOSA COUNTY BOARD OF EDUCATION,17,3,3,1,1,0,3,2,2,1
JOHN PLOTT COMPANY INC,17,5,1,1,0,0,1,0,0,1
SMART LIVING LLC,17,15,12,2,4,3,4,10,8,4
GADSDEN CITY OF,17,8,7,0,0,0,0,7,0,7
RACETRAC INC,17,13,9,2,0,0,2,8,1,9
BAILEY HARRIS CONSTRUCTION CO INC,16,11,6,4,2,2,5,3,6,2
DECATUR CITY OF,16,13,12,0,0,0,0,12,2,10
DILTINA DEVELOPMENT CORPORATION,16,7,4,0,0,0,0,4,1,4
HOOVER CITY OF,16,5,5,2,2,2,2,4,1,4
AUTAUGA COUNTY COMMISSION,16,10,4,0,0,0,0,4,2,4
ORANGE BEACH CITY OF,16,6,3,1,1,0,2,2,0,3
ROBERTSDALE CITY OF,16,10,8,2,3,1,2,7,3,5
GOODWYN BUILDING COMPANY INC,16,10,4,2,1,0,3,3,5,2
MD REAL ESTATE HOLDINGS LLC,16,4,3,2,1,0,1,2,3,1
JEFFERSON COUNTY BOARD OF EDUCATION,16,4,4,0,3,0,4,3,3,1
WAVERLY CONSTRUCTION OF ALABAMA LLC,16,11,8,3,2,1,1,8,5,4
BENCHMARK HOMES GROUP LLC,16,15,12,7,4,6,1,9,7,6
HONS BUILDERS INC,15,14,13,3,8,2,3,12,6,7
BOAN CONTRACTING COMPANY INC,15,2,1,0,0,0,0,1,0,1
GOODGAME COMPANY INC,15,8,7,1,2,0,2,6,1,6
HOUSTON COUNTY COMMISSION,15,5,5,0,1,1,2,3,3,2
SDH BIRMINGHAM LLC,15,8,7,1,3,0,3,7,3,4
KEEL CONSTRUCTION INC,15,8,2,0,0,0,0,2,3,2
MARONDA HOMES LLC OF ALABAMA,15,13,11,1,0,0,0,11,0,11
BLALOCK BUILDING COMPANY INC,14,8,5,1,1,0,2,5,3,3
C S BEATTY CONSTRUCTION INC,14,6,4,2,1,0,2,3,3,2
GENEVA COUNTY COMMISSION,14,7,1,1,0,1,1,0,4,0
NEWELL ROADBUILDERS INC,14,4,2,0,0,0,2,1,2,0
RABREN GENERAL CONTRACTORS INC,14,9,6,2,3,3,3,3,5,3
